연번,키워드,구분
636,발효액문,긍정
637,양수,긍정
638,도인,긍정
639,구비서류,긍정
646,정기검사,긍정
648,가음정,긍정
650,공동주택,긍정
651,성산,긍정
652,건축허가,긍정
653,미성년자,긍정
654,여권,긍정
659,카드결제,긍정
666,자녀,긍정
667,미성년,긍정
669,경남도,긍정
672,문자,긍정
674,분실,긍정
677,오피스텔,긍정
682,게양해야하는지,긍정
683,국기,긍정
684,제헌절,긍정
698,토지,긍정
702,절차,긍정
703,등기,긍정
704,검인,긍정
705,북부,긍정
707,웅천동,긍정
709,이륜,긍정
710,서류,긍정
711,입찰,긍정
712,엘리베이터,긍정
714,보증,긍정
717,중앙동,긍정
718,중간,긍정
719,정산,긍정
720,사천,긍정
739,지경,긍정
740,사회복지,긍정
741,급여,긍정
742,의료,긍정
743,동주민센터,긍정
745,승용차,긍정
746,양도,긍정
747,차량등록,긍정
748,측량,긍정
758,성인,긍정
762,경유차,긍정
763,노후,긍정
764,폐차,긍정
765,조기,긍정
767,호적,긍정
768,아버지,긍정
769,사망,긍정
770,증조할아버지,긍정
771,고지,긍정
776,현대,긍정
777,도로명,긍정
779,금지,긍정
780,해달라,긍정
781,최남중,긍정
782,주차하냐,긍정
783,적치물,긍정
784,건의,긍정
785,전지,긍정
787,홍보,긍정
788,주차해봤자,긍정
789,집앞,긍정
790,적치하,긍정
791,대대적,긍정
794,건설현장,긍정
795,환경,긍정
796,바퀴,긍정
797,세척,긍정
800,정류장,긍정
801,시내,긍정
802,회성동,긍정
803,고장,긍정
804,한효국화맨션,부정
806,정비,부정
807,구산면,부정
808,옥계,부정
810,통지,부정
811,비과세,부정
813,취득세,부정
814,감면,부정
815,부동산,부정
817,통신판매업,부정
818,동물,부정
819,동물병원,부정
821,여부,부정
822,등록증,부정
833,있다함,부정
834,가수,부정
835,창원홀,부정
836,공연,부정
837,트로트,부정
841,노점상,부정
845,삼계,부정
846,입간판,부정
847,경남은행,부정
848,상가,부정
849,야간,부정
